t,V,I,P,D,P_gmpp,G1,G2,G3
0.0,47.978758903810494,5.369313716626353,257.61300828893843,0.6095693498571635,452.722853225036,1000,1000,1000
0.01,37.724411101587634,5.375428953718292,202.78489169744594,0.31582937101109626,452.722853225036,1000,1000,1000
0.02,63.92418180966101,5.358496592373272,342.537510397318,0.31582937101109626,452.722853225036,1000,1000,1000
0.03,67.46993519917243,5.3539540379111985,361.2309319972161,0.13277881914895576,452.722853225036,1000,1000,1000
0.04,85.14158885654173,5.223171662794746,444.7091342408097,0.13277881914895576,452.722853225036,1000,1000,1000
0.05,87.53318710952112,5.148565244214034,450.6703248673644,0.11322210842282328,452.722853225036,1000,1000,1000
0.06,89.69358685047777,5.047401236690069,452.7195211922696,0.11322210842282328,452.722853225036,1000,1000,1000
0.07,89.98596516132444,5.03058588640809,452.68212631536886,0.19904267430642392,452.722853225036,1000,1000,1000
0.08,81.9654166076939,5.282981333100472,433.0217658982503,0.19904267430642392,452.722853225036,1000,1000,1000
0.09,80.8799533974753,5.296505583475881,428.38112476099695,0.131519578762399,452.722853225036,1000,1000,1000
0.1,87.07470312535614,5.165469356665587,449.78171073478035,0.131519578762399,452.722853225036,1000,1000,1000
0.11,87.91307133435882,5.1334640324054375,451.2985896732245,0.11040858275309975,452.722853225036,1000,1000,1000
0.12,90.00924000649074,5.029183990701391,452.6730288558424,0.11040858275309975,452.722853225036,1000,1000,1000
0.13,90.29292558744544,5.011896614911446,452.5388081021689,0.11322210842282328,452.722853225036,1000,1000,1000
0.14,90.06707683904665,5.025694149144278,452.64958110052487,0.11322210842282328,452.722853225036,1000,1000,1000
0.15,90.03651153471345,5.027538442210719,452.6620229433208,0.1,452.722853225036,1000,1000,1000
0.16,91.2741723001707,4.945497508008164,451.39619165600203,0.1,452.722853225036,1000,1000,1000
0.17,91.4416714704147,4.933008562894152,451.0825483689096,0.1,452.722853225036,1000,1000,1000
0.18,91.46434001806158,4.9313173380974815,451.0396857487104,0.1,452.722853225036,1000,1000,1000
0.19,91.46740787237792,4.931088455710608,451.0338790332563,0.10319649408643027,452.722853225036,1000,1000,1000
0.2,91.16761391965191,4.953197442464242,451.57119210238733,0.10319649408643027,452.722853225036,1000,1000,1000
0.21,91.12704122014712,4.956129235584334,451.63739314346986,0.11322210842282328,452.722853225036,1000,1000,1000
0.22,90.17996211445042,5.018882715877952,452.60265317474375,0.11322210842282328,452.722853225036,1000,1000,1000
0.23,90.05178889543348,5.026616614960373,452.6558182686899,0.1,452.722853225036,1000,1000,1000
0.24,91.27623986611086,4.94534810519118,451.392779870847,0.1,452.722853225036,1000,1000,1000
0.25,91.44195128503682,4.932987686857682,451.0820197513266,0.1,452.722853225036,1000,1000,1000
0.26,91.4643778868527,4.931314512833174,451.0396140806943,0.1,452.722853225036,1000,1000,1000
0.27,91.46741299736149,4.9310880733526625,451.03386933171157,0.10634152390642909,452.722853225036,1000,1000,1000
0.28,90.87223890560088,4.974038539781987,452.0020185127349,0.10634152390642909,452.722853225036,1000,1000,1000
0.29,90.79169085131736,4.979478510848285,452.0952735577156,0.11322210842282328,452.722853225036,1000,1000,1000
0.3,90.13457737730133,5.021621205085646,452.6217050692893,0.11322210842282328,452.722853225036,1000,1000,1000
0.31,90.04564673917677,5.026987229172938,452.6583162004594,0.1,452.722853225036,1000,1000,1000
0.32,91.27540861565417,4.945408171551065,451.39415162951866,0.1,452.722853225036,1000,1000,1000
0.33,91.44183878752082,4.932996079922451,451.08223227974094,0.10106113710113741,452.722853225036,1000,1000,1000
0.34,91.36470251879352,4.938750959874462,451.2275122633362,0.10106113710113741,452.722853225036,1000,1000,1000
0.35000000000000003,91.3542632600175,4.93952979818276,451.247105563889,0.11715623058072548,452.722853225036,1000,1000,1000
0.36,89.84122739177023,5.038968176467912,452.7070857619475,0.11715623058072548,452.722853225036,1000,1000,1000
0.37,89.63646025399383,5.0505700892161975,452.71522506203775,0.11322210842282328,452.722853225036,1000,1000,1000
0.38,89.97823391720895,5.0310336308420345,452.68352088124965,0.11322210842282328,452.722853225036,1000,1000,1000
0.39,90.02448795272299,5.028263938304495,452.6668863370045,0.1,452.722853225036,1000,1000,1000
0.4,91.2725450852965,4.9456150909501755,451.3988763632726,0.1,452.722853225036,1000,1000,1000
0.41000000000000003,91.44145125082882,4.93302499274357,451.08296439308134,0.13847463796207415,452.722853225036,1000,1000,1000
0.42,87.8508394162896,5.135985621767993,451.2006481023123,0.13847463796207415,452.722853225036,1000,1000,1000
0.43,87.3649029466695,5.154956317950761,450.36225841208903,0.12148211325044404,452.722853225036,1000,1000,1000
0.44,88.89504683899877,5.089348331959352,452.41785834950684,0.12148211325044404,452.722853225036,1000,1000,1000
0.45,89.10212929605991,5.078983788882659,452.5482702496149,0.11537522592620623,452.722853225036,1000,1000,1000
0.46,89.7037030503532,5.046840083960813,452.72024423424034,0.11537522592620623,452.722853225036,1000,1000,1000
0.47000000000000003,89.78511720477819,5.0422177212420705,452.7161090737289,0.11483667743156342,452.722853225036,1000,1000,1000
0.48,89.84671494642458,5.0386503722418725,452.70618370951166,0.11483667743156342,452.722853225036,1000,1000,1000
0.49,89.85505129423703,5.038167584054527,452.7048066941818,0.12577370863735768,452.722853225036,1000,1000,1000
0.5,88.82899262780187,5.092522961656486,452.36368461789573,0.12577370863735768,452.722853225036,1000,1000,1000
0.51,88.69013068756249,5.099196801693291,452.24843074377867,0.11308260563091893,452.722853225036,1000,1000,1000
0.52,89.86326399586339,5.037691956667018,452.70344223180587,0.11308260563091893,452.722853225036,1000,1000,1000
0.53,90.0220303244166,5.028412230197681,452.667878270523,0.11623647292755941,452.722853225036,1000,1000,1000
0.54,89.74731130244683,5.044407198392994,452.72198317047975,0.11623647292755941,452.722853225036,1000,1000,1000
0.55,89.71013212579807,5.046483458619587,452.72069784341755,0.12193590317230917,452.722853225036,1000,1000,1000
0.56,89.16981993733057,5.0755624095811775,452.5869861430373,0.12193590317230917,452.722853225036,1000,1000,1000
0.5700000000000001,89.09669663426814,5.079258379228642,452.5451429411988,0.11015630353559566,452.722853225036,1000,1000,1000
0.58,90.19311989518167,5.018088782877715,452.597083238756,0.11015630353559566,452.722853225036,1000,1000,1000
0.59,90.34150464774461,5.008848146344451,452.5068780928242,0.11357147355180595,452.722853225036,1000,1000,1000
0.6,90.04083953721235,5.027277293003329,452.660268048384,0.11357147355180595,452.722853225036,1000,1000,1000
0.61,90.0001489393191,5.029732540520115,452.67667777175024,0.11658097172810068,452.722853225036,1000,1000,1000
0.62,89.71199525334559,5.046380109622818,452.72082844105984,0.11658097172810068,452.722853225036,1000,1000,1000
0.63,89.67299789263869,5.048543320676765,452.71801455594266,0.11623647292755941,452.722853225036,1000,1000,1000
0.64,89.7000748994334,5.047041340046682,452.71998622272406,0.11146893535911633,452.722853225036,1000,1000,1000
0.65,90.15149817535055,5.020600213762259,452.61463101015295,0.11623647292755941,452.722853225036,1000,1000,1000
0.66,89.76483287072301,5.043392460719157,452.7192813379196,0.1082448668629206,452.722853225036,1000,1000,1000
0.67,90.46306109579989,5.001186325488392,452.4226241141354,0.11623647292755941,452.722853225036,1000,1000,1000
0.68,89.80699832680804,5.0409505059723205,452.71263365537834,0.11648033385665056,452.722853225036,1000,1000,1000
0.6900000000000001,89.69530689360839,5.047305824686641,452.7196449311655,0.11623647292755941,452.722853225036,1000,1000,1000
0.7000000000000001,89.70309409439837,5.046873863176354,452.72020103106826,0.11579276355318913,452.722853225036,1000,1000,1000
0.71,89.745820386889,5.044493542729369,452.7222114286113,0.11579276355318913,452.722853225036,1000,1000,1000
0.72,89.75160276178487,5.044158664392076,452.7213247139329,0.11715753827783852,452.722853225036,1000,1000,1000
0.73,89.62420806268094,5.051249726894304,452.71425649973537,0.11579276355318913,452.722853225036,1000,1000,1000
0.74,89.73514432344311,5.045096014406736,452.7224189784161,0.11483088736670749,452.722853225036,1000,1000,1000
0.75,89.84049564515338,5.039010554572892,452.70720578398783,0.11579276355318913,452.722853225036,1000,1000,1000
0.76,89.76441566467757,5.043416622636936,452.71934608452625,0.11673790674482436,452.722853225036,1000,1000,1000
0.77,89.66535316118285,5.048967379312784,452.71744316537263,0.11579276355318913,452.722853225036,1000,1000,1000
0.78,89.74071270700266,5.044787132250347,452.7227927032622,0.1154774802832245,452.722853225036,1000,1000,1000
0.79,89.78052236652779,5.042483825017964,452.71683183487994,0.11579276355318913,452.722853225036,1000,1000,1000
0.8,89.75629916402815,5.043886678676378,452.7206016807333,0.11909121490473,452.722853225036,1000,1000,1000
0.81,89.44323612013565,5.0611847397723375,452.6887417270845,0.11579276355318913,452.722853225036,1000,1000,1000
0.8200000000000001,89.71065243434086,5.0464545967384025,452.7207343536806,0.11816438268905272,452.722853225036,1000,1000,1000
0.8300000000000001,89.52410496995265,5.056802515924095,452.7057192479093,0.11579276355318913,452.722853225036,1000,1000,1000
0.84,89.72159684303585,5.045847502682837,452.72149536714875,0.11546093354825894,452.722853225036,1000,1000,1000
0.85,89.77948935611126,5.04254365040406,452.7169939891777,0.11579276355318913,452.722853225036,1000,1000,1000
0.86,89.75615936127085,5.04389477516195,452.72062324091735,0.11600684441283776,452.722853225036,1000,1000,1000
0.87,89.73289588938276,5.045220736627042,452.7222670987093,0.11600684441283776,452.722853225036,1000,1000,1000
0.88,89.72974752082573,5.045395378847465,452.72205348672384,0.11613546926487657,452.722853225036,1000,1000,1000
0.89,89.71724121402568,5.04608911249055,452.7211940927834,0.11600684441283776,452.722853225036,1000,1000,1000
0.9,89.7276288909023,5.045512900740908,452.72190912194014,0.11634844322228616,452.722853225036,1000,1000,1000
0.91,89.69695234654147,5.047214550253987,452.71976299690255,0.11600684441283776,452.722853225036,1000,1000,1000
0.92,89.72488309127478,5.0456652121793875,452.72172128050767,0.11630083889888178,452.722853225036,1000,1000,1000
0.93,89.70105165788044,5.046987158567951,452.720055827363,0.11600684441283776,452.722853225036,1000,1000,1000
0.9400000000000001,89.72543787273591,5.045634438061152,452.7217593007927,0.11621859006468306,452.722853225036,1000,1000,1000
0.9500000000000001,89.70885140624024,5.046554501035132,452.7206078468535,0.11600684441283776,452.722853225036,1000,1000,1000
0.96,89.72649345388935,5.045575884231405,452.7218315475911,0.11483256940407288,452.722853225036,1000,1000,1000
0.97,89.83916690326053,5.039087506843159,452.70742356741755,0.11600684441283776,452.722853225036,1000,1000,1000
0.98,89.74412973858871,5.044591454314477,452.72246995417436,0.11528986382349696,452.722853225036,1000,1000,1000
0.99,89.79860542167542,5.041436569599547,452.71397327187464,0.11600684441283776,452.722853225036,1000,1000,1000
1.0,89.7386403389899,5.044902087963036,452.7226540171341,0.11656567827638875,452.722853225036,1000,1000,1000
