t,V,I,P,D,P_gmpp,G1,G2,G3
0.0,15.258560681964605,2.989499369381252,45.61545753639876,0.26,143.85124324192384,1000,700,500
0.01,22.438536830562644,4.228481422691148,94.88093614040525,0.2806494704856534,143.85124324192384,1000,700,500
0.02,22.793470587887217,4.850736775213464,110.56512601541097,0.2806494704856534,143.85124324192384,1000,700,500
0.03,22.841505648464974,4.93494987959257,112.72168554960523,0.2100121826781998,143.85124324192384,1000,700,500
0.04,24.95784192513487,5.157783992188131,128.72715756102244,0.2100121826781998,143.85124324192384,1000,700,500
0.05,25.244256894561907,3.071628250263688,77.54097263425024,0.6967229852151896,143.85124324192384,1000,700,500
0.06,10.745658704365948,4.382972740835971,47.09792918356273,0.6967229852151896,143.85124324192384,1000,700,500
0.07,8.783486811761936,3.67351150687491,32.266239873491486,0.3432717107556891,143.85124324192384,1000,700,500
0.08,19.075023171455914,4.726078423965939,90.15005544726813,0.3432717107556891,143.85124324192384,1000,700,500
0.09,20.467831159634997,5.343796495317391,109.37592441760559,0.1918415929334361,143.85124324192384,1000,700,500
0.1,25.179329718070107,3.5445371988297087,89.24907082729786,0.1918415929334361,143.85124324192384,1000,700,500
0.11,25.816961709944817,5.113094034418674,132.0045529059342,0.1,143.85124324192384,1000,700,500
0.12,28.64643372518333,3.0920627299629277,88.57657006799245,0.1,143.85124324192384,1000,700,500
0.13,29.0293611217757,4.839560419235913,140.48934708065153,0.3503066180361175,143.85124324192384,1000,700,500
0.14,21.60488161903045,2.766951188305311,59.77965286897188,0.3503066180361175,143.85124324192384,1000,700,500
0.15,20.600087582641997,5.013123753252913,103.27078837963298,0.12358302177602384,143.85124324192384,1000,700,500
0.16,27.23601522959207,2.6748852748466807,72.85321608313576,0.12358302177602384,143.85124324192384,1000,700,500
0.17,28.13409037722973,4.872525663174306,137.08407737311714,0.1,143.85124324192384,1000,700,500
0.18,28.960022989666005,4.950491489920577,143.36634735824583,0.1,143.85124324192384,1000,700,500
0.19,29.071800813704424,3.5780240558382816,104.01960265797337,0.1,143.85124324192384,1000,700,500
0.2,29.086928297180236,4.655401021136869,135.41131569642775,0.1,143.85124324192384,1000,700,500
0.21,29.088975579441094,4.893747242805221,142.35409403791826,0.1,143.85124324192384,1000,700,500
0.22,29.089252648965733,4.9260038962231505,143.2937718870248,0.1,143.85124324192384,1000,700,500
0.23,29.089290146248324,4.930369359549463,143.42094482810685,0.1,143.85124324192384,1000,700,500
0.24,29.089295220953684,4.930960160765175,143.43815583925942,0.1,143.85124324192384,1000,700,500
0.25,29.08929590774037,4.931040117015126,143.44048509679172,0.19182237895604776,143.85124324192384,1000,700,500
0.26,26.34669198587827,5.263052699662542,138.66402838345408,0.19182237895604776,143.85124324192384,1000,700,500
0.27,25.975520907307217,3.252037782164962,84.47337540197897,0.1,143.85124324192384,1000,700,500
0.28,28.66789237906814,4.580910039931188,131.32503602294003,0.1,143.85124324192384,1000,700,500
0.29,29.03226523477708,4.7532345297641605,137.997165591214,0.1,143.85124324192384,1000,700,500
0.3,29.081577738408182,4.032484732789079,117.27101823554976,0.1,143.85124324192384,1000,700,500
0.31,29.088251460054202,4.809444690488821,139.89833654016138,0.1,143.85124324192384,1000,700,500
0.32,29.08915465006341,4.914594786427749,142.96140778479213,0.1,143.85124324192384,1000,700,500
0.33,29.08927688353912,4.9288253044438095,143.37596399155998,0.16478833498629136,143.85124324192384,1000,700,500
0.34,27.154157899534955,3.2328812643630433,87.78616832296228,0.16478833498629136,143.85124324192384,1000,700,500
0.35000000000000003,26.892268023738204,5.138805627439345,138.19413825499305,0.1,143.85124324192384,1000,700,500
0.36,28.791960609726672,3.3561353485259002,96.62971675566902,0.1,143.85124324192384,1000,700,500
0.37,29.049056043913918,4.254121191887741,123.57820492074886,0.1,143.85124324192384,1000,700,500
0.38,29.083850127318488,4.2970380488060425,124.97441060286,0.1,143.85124324192384,1000,700,500
0.39,29.088558994451002,4.845248088443156,140.94128486342967,0.1,143.85124324192384,1000,700,500
0.4,29.089196270318105,4.919440249430638,143.1025629557905,0.1,143.85124324192384,1000,700,500
0.41000000000000003,29.089282516228078,4.929481066551658,143.3950674033185,0.17563157468137575,143.85124324192384,1000,700,500
0.42,26.830286496255773,3.8795318989547685,104.08895232031965,0.17563157468137575,143.85124324192384,1000,700,500
0.43,26.524564630062443,2.6885706554627755,71.31316611331174,0.1,143.85124324192384,1000,700,500
0.44,28.7421973667965,4.8110136625187465,138.2791042224683,0.1,143.85124324192384,1000,700,500
0.45,29.04232132133719,4.454313442156786,129.36360225306888,0.1,143.85124324192384,1000,700,500
0.46,29.082938681731047,4.190926831913128,121.88446807215085,0.1,143.85124324192384,1000,700,500
0.47000000000000003,29.088435643704273,4.8308874968505275,140.5229600541122,0.11315488641771146,143.85124324192384,1000,700,500
0.48,28.69626180739332,3.6335192473738815,104.26841960484364,0.11315488641771146,143.85124324192384,1000,700,500
0.49,28.64318685017819,2.8667875965293845,82.1139327871644,0.1579667080330993,143.85124324192384,1000,700,500
0.5,27.297538484680572,4.366166003264686,119.18558450462173,0.1579667080330993,143.85124324192384,1000,700,500
0.51,27.115424781999067,3.4969128939240224,94.82027854439951,0.1,143.85124324192384,1000,700,500
0.52,28.822161592812073,4.977131839879983,143.45169815775094,0.1,143.85124324192384,1000,700,500
0.53,29.053143302513803,4.13262583892844,120.06577071405928,0.1,143.85124324192384,1000,700,500
0.54,29.084403277618765,4.361436244700414,126.84977061049,0.1,143.85124324192384,1000,700,500
0.55,29.088633855203565,4.853963436524659,141.19516515161143,0.10957101109442047,143.85124324192384,1000,700,500
0.56,28.803333896988335,3.9458573435269173,113.6538465754892,0.10957101109442047,143.85124324192384,1000,700,500
0.5700000000000001,28.76472274633588,3.2253686204504417,92.7768341219888,0.1,143.85124324192384,1000,700,500
0.58,29.045369799957165,4.363696228473997,126.74517065070562,0.1,143.85124324192384,1000,700,500
0.59,29.08335124844852,4.23895817579551,123.2831095541434,0.1,143.85124324192384,1000,700,500
0.6,29.088491478537836,4.837387832379164,140.71231474054395,0.1,143.85124324192384,1000,700,500
0.61,29.089187133032873,4.918376479449773,143.07157380142183,0.1,143.85124324192384,1000,700,500
0.62,29.089281279630995,4.929337100940283,143.3908734513727,0.1,143.85124324192384,1000,700,500
0.63,29.089294020987516,4.930820459753948,143.43408611848344,0.1,143.85124324192384,1000,700,500
0.64,29.08929574534261,4.931021210539216,143.43993431993258,0.1,143.85124324192384,1000,700,500
0.65,29.089295978708694,4.93104837920345,143.44072578798094,0.1,143.85124324192384,1000,700,500
0.66,29.08929601029136,4.931052056082356,143.4408329015355,0.1,143.85124324192384,1000,700,500
0.67,29.08929601456561,4.9310525536937515,143.44084739777722,0.1,143.85124324192384,1000,700,500
0.68,29.08929601514407,4.931052621038517,143.44084935964145,0.1,143.85124324192384,1000,700,500
0.6900000000000001,29.089296015222352,4.931052630152408,143.44084962514412,0.1,143.85124324192384,1000,700,500
0.7000000000000001,29.089296015232947,4.931052631385792,143.44084966107465,0.1,143.85124324192384,1000,700,500
0.71,29.089296015234382,4.93105263155289,143.4408496659425,0.1,143.85124324192384,1000,700,500
0.72,29.089296015234574,4.931052631575225,143.44084966659315,0.1,143.85124324192384,1000,700,500
0.73,29.089296015234602,4.931052631578534,143.44084966668953,0.1,143.85124324192384,1000,700,500
0.74,29.089296015234606,4.931052631578948,143.4408496667016,0.1,143.85124324192384,1000,700,500
0.75,29.089296015234606,4.931052631578948,143.4408496667016,0.1,143.85124324192384,1000,700,500
0.76,29.089296015234606,4.931052631578948,143.4408496667016,0.1,143.85124324192384,1000,700,500
0.77,29.089296015234606,4.931052631578948,143.4408496667016,0.1,143.85124324192384,1000,700,500
0.78,29.089296015234606,4.931052631578948,143.4408496667016,0.1,143.85124324192384,1000,700,500
0.79,29.089296015234606,4.931052631578948,143.4408496667016,0.1,143.85124324192384,1000,700,500
0.8,29.089296015234606,4.931052631578948,143.4408496667016,0.1,143.85124324192384,1000,700,500
0.81,29.089296015234606,4.931052631578948,143.4408496667016,0.1,143.85124324192384,1000,700,500
0.8200000000000001,29.089296015234606,4.931052631578948,143.4408496667016,0.1,143.85124324192384,1000,700,500
0.8300000000000001,29.089296015234606,4.931052631578948,143.4408496667016,0.1,143.85124324192384,1000,700,500
0.84,29.089296015234606,4.931052631578948,143.4408496667016,0.1,143.85124324192384,1000,700,500
0.85,29.089296015234606,4.931052631578948,143.4408496667016,0.1,143.85124324192384,1000,700,500
0.86,29.089296015234606,4.931052631578948,143.4408496667016,0.1,143.85124324192384,1000,700,500
0.87,29.089296015234606,4.931052631578948,143.4408496667016,0.1,143.85124324192384,1000,700,500
0.88,29.089296015234606,4.931052631578948,143.4408496667016,0.1,143.85124324192384,1000,700,500
0.89,29.089296015234606,4.931052631578948,143.4408496667016,0.1,143.85124324192384,1000,700,500
0.9,29.089296015234606,4.931052631578948,143.4408496667016,0.1,143.85124324192384,1000,700,500
0.91,29.089296015234606,4.931052631578948,143.4408496667016,0.1,143.85124324192384,1000,700,500
0.92,29.089296015234606,4.931052631578948,143.4408496667016,0.1,143.85124324192384,1000,700,500
0.93,29.089296015234606,4.931052631578948,143.4408496667016,0.1,143.85124324192384,1000,700,500
0.9400000000000001,29.089296015234606,4.931052631578948,143.4408496667016,0.1,143.85124324192384,1000,700,500
0.9500000000000001,29.089296015234606,4.931052631578948,143.4408496667016,0.1,143.85124324192384,1000,700,500
0.96,29.089296015234606,4.931052631578948,143.4408496667016,0.1,143.85124324192384,1000,700,500
0.97,29.089296015234606,4.931052631578948,143.4408496667016,0.1,143.85124324192384,1000,700,500
0.98,29.089296015234606,4.931052631578948,143.4408496667016,0.1,143.85124324192384,1000,700,500
0.99,29.089296015234606,4.931052631578948,143.4408496667016,0.1,143.85124324192384,1000,700,500
1.0,29.089296015234606,4.931052631578948,143.4408496667016,0.1,143.85124324192384,1000,700,500
