t,V,I,P,D,P_gmpp,G1,G2,G3
0.0,15.258560681964605,2.989499369381252,45.61545753639876,0.26,143.85124324192384,1000,700,500
0.01,22.438536830562644,4.228481422691148,94.88093614040525,0.34828174593109007,143.85124324192384,1000,700,500
0.02,20.773390600021937,4.5798246917620435,95.138487201598,0.34828174593109007,143.85124324192384,1000,700,500
0.03,20.548037563281333,5.143261271228799,105.68392579897947,0.5381405190529688,143.85124324192384,1000,700,500
0.04,14.84672751004,2.8021057130000595,41.60209997523823,0.5381405190529688,143.85124324192384,1000,700,500
0.05,14.075139099164836,3.8834059455783665,54.65947886253926,0.8829471416759543,143.85124324192384,1000,700,500
0.06,3.6718319840992706,4.476739045090162,16.437833610228083,0.8829471416759543,143.85124324192384,1000,700,500
0.07,2.263897469084403,3.4921776047744975,7.905932041042217,0.40209117310114534,143.85124324192384,1000,700,500
0.08,16.435838920960382,3.525188305637746,57.939427157515254,0.40209117310114534,143.85124324192384,1000,700,500
0.09,18.353802631362708,4.397906330800927,80.71830478674076,0.2765634918621801,143.85124324192384,1000,700,500
0.1,22.362704304956832,4.0955349390735005,91.58723681312009,0.2765634918621801,143.85124324192384,1000,700,500
0.11,22.905250148420425,5.046704130836881,115.59602054188544,0.5861989952883843,143.85124324192384,1000,700,500
0.12,13.73030313052732,4.7454927310012085,65.15705370036054,0.5861989952883843,143.85124324192384,1000,700,500
0.13,12.488609077179841,5.0131701903511585,62.60752274466687,0.4950977344135445,143.85124324192384,1000,700,500
0.14,15.041629302933723,2.8907905545705463,43.48219991427236,0.4950977344135445,143.85124324192384,1000,700,500
0.15,15.387143018294926,3.0480073182149274,46.900124526182665,0.1171396896351149,143.85124324192384,1000,700,500
0.16,26.722973078008824,4.799206444119987,128.24906460202487,0.1171396896351149,143.85124324192384,1000,700,500
0.17,28.257110849862315,4.756515424002044,134.4053835951056,0.12787477457451477,143.85124324192384,1000,700,500
0.18,28.144092083064958,5.051997227722176,142.18387518040183,0.12787477457451477,143.85124324192384,1000,700,500
0.19,28.128796656249385,4.777534628417442,134.38630008094418,0.1,143.85124324192384,1000,700,500
0.2,28.959306562437757,4.922466800382075,142.5512251156866,0.1,143.85124324192384,1000,700,500
0.21,29.071703855822573,3.5809061666198305,104.10304361146055,0.35746632192586525,143.85124324192384,1000,700,500
0.22,21.39676190095972,3.0213735794763843,64.64761109390659,0.35746632192586525,143.85124324192384,1000,700,500
0.23,20.358071457673795,5.309895187788956,108.09922566576577,0.1,143.85124324192384,1000,700,500
0.24,27.907653266734645,3.7362889976900426,104.27105785184924,0.1,143.85124324192384,1000,700,500
0.25,28.929378059181875,3.7517449475161957,108.53564796832148,0.1,143.85124324192384,1000,700,500
0.26,29.067653473357588,3.7013053621141974,107.5882616650158,0.1,143.85124324192384,1000,700,500
0.27,29.086367015699718,4.590056186801268,133.50805887198484,0.1,143.85124324192384,1000,700,500
0.28,29.088899618252952,4.884903781142369,142.09647573447467,0.1,143.85124324192384,1000,700,500
