t,V,I,P,D,P_gmpp,G1,G2,G3
0.0,15.258560681964605,2.989499369381252,45.61545753639876,0.495,143.85124324192384,1000,700,500
0.01,15.419420676008196,3.0626944019921845,47.224973386372845,0.49,143.85124324192384,1000,700,500
0.02,15.590533605768938,3.140554758437279,48.96292450217395,0.485,143.85124324192384,1000,700,500
0.03,15.76303411948897,3.219046497804861,50.7419397771195,0.48,143.85124324192384,1000,700,500
0.04,15.935722422277145,3.2976236855590884,52.55001570619616,0.475,143.85124324192384,1000,700,500
0.05,16.108436139552047,3.3762124374949245,54.38550244294835,0.47,143.85124324192384,1000,700,500
0.06,16.28115329630371,3.4548027544725546,56.24817325405997,0.46499999999999997,143.85124324192384,1000,700,500
0.07,16.45387091853793,3.5333932832555575,58.137996987115876,0.45999999999999996,143.85124324192384,1000,700,500
0.08,16.62658860376837,3.6119838407033025,60.054969362833035,0.45499999999999996,143.85124324192384,1000,700,500
0.09,16.799306297524414,3.6905744020303963,61.99908979351164,0.44999999999999996,143.85124324192384,1000,700,500
0.1,16.972023992434277,3.7691649638825044,63.97035819845654,0.44499999999999995,143.85124324192384,1000,700,500
0.11,17.144741687500293,3.8477555258056655,65.96877456659,0.43999999999999995,143.85124324192384,1000,700,500
0.12,17.31745938258744,3.926346087738442,67.99433889639157,0.43499999999999994,143.85124324192384,1000,700,500
0.13,17.490177077677448,4.004936649672519,70.04705118765261,0.42999999999999994,143.85124324192384,1000,700,500
0.14,17.662894772767846,4.083527211606775,72.12691144034456,0.42499999999999993,143.85124324192384,1000,700,500
0.15,17.835612467858287,4.16211777354105,74.23391965446332,0.41999999999999993,143.85124324192384,1000,700,500
0.16,18.008330162948745,4.240708335475333,76.3680758300086,0.4149999999999999,143.85124324192384,1000,700,500
0.17,18.1810478580392,4.319298897409615,78.52937996698016,0.4099999999999999,143.85124324192384,1000,700,500
0.18,18.353765553129655,4.3978894593438955,80.71783206537799,0.4049999999999999,143.85124324192384,1000,700,500
0.19,18.52648324822011,4.476480021278178,82.93343212520216,0.3999999999999999,143.85124324192384,1000,700,500
0.2,18.69920094331057,4.55507058321246,85.17618014645267,0.3949999999999999,143.85124324192384,1000,700,500
0.21,18.87191863840102,4.63366114514674,87.44607612912938,0.3899999999999999,143.85124324192384,1000,700,500
0.22,19.044636333491482,4.712251707081025,89.74312007323255,0.3849999999999999,143.85124324192384,1000,700,500
0.23,19.21735402858193,4.790842269015303,92.06731197876182,0.3799999999999999,143.85124324192384,1000,700,500
