t,V,I,P,D,P_gmpp,G1,G2,G3
0.0,15.258560681964605,1.775162705873775,27.08642786793548,0.26,143.85124324192384,1000,700,300
0.01,22.438536830562644,3.166476890926897,71.05110834018866,0.2806494704856534,143.85124324192384,1000,700,300
0.02,22.793470587887217,4.381584089582168,99.87150807424572,0.2806494704856534,143.85124324192384,1000,700,300
0.03,22.841505648464974,4.546030966475028,103.83819199883604,0.2100121826781998,143.85124324192384,1000,700,300
0.04,24.95784192513487,5.314137686341341,132.62940834410912,0.2100121826781998,143.85124324192384,1000,700,300
0.05,25.244256894561907,5.306173942848475,133.95041814049736,0.6835544348575601,143.85124324192384,1000,700,300
0.06,11.138984596056593,4.1115626668834855,45.79863321213651,0.6835544348575601,143.85124324192384,1000,700,300
0.07,9.230043574408828,3.0840458601387732,28.465877674556033,0.2393463885804023,143.85124324192384,1000,700,300
0.08,22.23955979250711,2.4852837772291005,55.2716171650345,0.2393463885804023,143.85124324192384,1000,700,300
0.09,24.000206354654743,4.610753529859408,110.65903616707855,0.17752731687286236,143.85124324192384,1000,700,300
0.1,26.084931806384066,3.7475910262226964,97.75565635723592,0.17752731687286236,143.85124324192384,1000,700,300
0.11,26.36706871586443,5.26200222250579,138.7435741838415,0.1,143.85124324192384,1000,700,300
0.12,28.720882612639905,4.264639474293681,122.48420972641915,0.1,143.85124324192384,1000,700,300
0.13,29.039436683046286,3.8371019514271034,111.42727916486072,0.3699402447872901,143.85124324192384,1000,700,300
0.14,21.01981665881283,3.963700508725477,83.31625798385267,0.3699402447872901,143.85124324192384,1000,700,300
0.15,19.934479111383183,4.993957778654264,99.55194702171298,0.14236059439500898,143.85124324192384,1000,700,300
0.16,26.585075500255368,4.418282839486697,117.4603828692365,0.14236059439500898,143.85124324192384,1000,700,300
0.17,27.485135846235778,4.324830592047766,118.86855633438915,0.1,143.85124324192384,1000,700,300
0.18,28.872196544406258,4.977796922703983,143.71993111045003,0.1,143.85124324192384,1000,700,300
0.19,29.059914796859534,2.172355513626985,63.128466134488214,0.1,143.85124324192384,1000,700,300
0.2,29.08531969972398,4.468126831732328,129.95689735984956,0.1,143.85124324192384,1000,700,300
0.21,29.088757879448735,4.868402437339008,141.6157797594725,0.1,143.85124324192384,1000,700,300
0.22,29.089223186475603,4.922573849796464,143.19384936863779,0.1,143.85124324192384,1000,700,300
0.23,29.089286158933877,4.92990515324478,143.40742173914018,0.1,143.85124324192384,1000,700,300
0.24,29.089294681329356,4.930897337273747,143.43632568733827,0.1,143.85124324192384,1000,700,300
0.25,29.08929583471016,4.931031614780117,143.44023741264738,0.1775110975536433,143.85124324192384,1000,700,300
0.26,26.774149620607435,4.188459474352168,112.14244064615572,0.1775110975536433,143.85124324192384,1000,700,300
0.27,26.46082865198767,2.127387214137751,56.29242854972842,0.1,143.85124324192384,1000,700,300
0.28,28.73357164015139,4.589905112124541,131.8843673607276,0.1,143.85124324192384,1000,700,300
0.29,29.04115395617855,3.697498062331719,107.37961048084732,0.1,143.85124324192384,1000,700,300
0.3,29.08278069603666,4.172534012293398,121.34889162628284,0.1,143.85124324192384,1000,700,300
0.31,29.088414262665573,4.828398299397488,140.45044995802408,0.1,143.85124324192384,1000,700,300
0.32,29.089176683000932,4.917159878457869,143.03613248302435,0.1,143.85124324192384,1000,700,300
0.33,29.089279865372962,4.929172451900355,143.38607695801608,0.15469053416557987,143.85124324192384,1000,700,300
0.34,27.455765268470067,4.677400227686792,128.421602718057,0.15469053416557987,143.85124324192384,1000,700,300
0.35000000000000003,27.234693107827074,4.98743303349262,135.8312080630105,0.1,143.85124324192384,1000,700,300
0.36,28.838302805469162,4.984664163413391,143.74925452808597,0.1,143.85124324192384,1000,700,300
0.37,29.055327778100533,2.5452523150027253,73.95314029037337,0.1,143.85124324192384,1000,700,300
0.38,29.084698914241017,4.395854494322172,127.85210443817355,0.1,143.85124324192384,1000,700,300
0.39,29.08867386526957,4.858621440085459,141.3308545054523,0.1,143.85124324192384,1000,700,300
0.4,29.089211816392872,4.921250135763043,143.15528760066334,0.1,143.85124324192384,1000,700,300
0.41000000000000003,29.089284620160512,4.929726008031392,143.40220294703286,0.1638437647762301,143.85124324192384,1000,700,300
0.42,27.18237191687302,4.482900307004531,121.85586341126141,0.1638437647762301,143.85124324192384,1000,700,300
0.43,26.92429934606611,3.5971754960617623,96.85142985630074,0.1,143.85124324192384,1000,700,300
0.44,28.796295577806365,3.5603380990314695,102.52454825663543,0.1,143.85124324192384,1000,700,300
0.45,29.049642718046805,3.00741321319064,87.36427934872121,0.1,143.85124324192384,1000,700,300
0.46,29.083929525028427,4.3062815930573315,125.24359036740657,0.1,143.85124324192384,1000,700,300
0.47000000000000003,29.088569739762566,4.846499066122543,140.97772607859972,0.11315488641771146,143.85124324192384,1000,700,300
0.48,28.69627995532135,3.6339844443624703,104.28183496870835,0.11315488641771146,143.85124324192384,1000,700,300
0.49,28.643189306233168,3.5657152089148534,102.13345574106289,0.15679242653622916,143.85124324192384,1000,700,300
0.5,27.33261293717647,3.6465453492476083,99.66961258884587,0.15679242653622916,143.85124324192384,1000,700,300
0.51,27.15524571306697,4.221322592201446,114.63105222535107,0.1,143.85124324192384,1000,700,300
0.52,28.827550769796893,4.986842642961329,143.75845947095584,0.1,143.85124324192384,1000,700,300
0.53,29.053872648307458,2.6635455407192814,77.38631293302522,0.1,143.85124324192384,1000,700,300
0.54,29.084501983838326,4.372927700928617,127.18442439283993,0.1,143.85124324192384,1000,700,300
0.55,29.088647213637746,4.855518636008058,141.24046864208194,0.10957101109442047,143.85124324192384,1000,700,300
0.56,28.803335704855808,3.9459563682634364,113.65670595180539,0.10957101109442047,143.85124324192384,1000,700,300
0.5700000000000001,28.764722991004138,2.190419598425292,63.00681298277004,0.1022869719694535,143.85124324192384,1000,700,300
0.58,28.97706122925748,4.0175121989259805,116.415696977567,0.1022869719694535,143.85124324192384,1000,700,300
0.59,29.005798084873458,4.173346989659226,121.05126012017,0.1,143.85124324192384,1000,700,300
0.6,29.077995799179508,3.615472531920149,105.13069509522299,0.1,143.85124324192384,1000,700,300
0.61,29.087766697294153,4.753008226171087,138.2543943931845,0.1,143.85124324192384,1000,700,300
0.62,29.089089044557976,4.906956941544465,142.7389074103988,0.1,143.85124324192384,1000,700,300
0.63,29.08926800479946,4.927791634543189,143.34585152903563,0.1,143.85124324192384,1000,700,300
0.64,29.08929222443443,4.930611303621339,143.4279930561407,0.1,143.85124324192384,1000,700,300
0.65,29.08929550220559,4.93099290433487,143.43910971347603,0.1,143.85124324192384,1000,700,300
0.66,29.089295945803677,4.931044548375275,143.4406141896302,0.1,143.85124324192384,1000,700,300
0.67,29.08929600583815,4.931051537636197,143.4408177983427,0.1,143.85124324192384,1000,700,300
0.68,29.089296013962933,4.9310524835298235,143.44084535378613,0.1,143.85124324192384,1000,700,300
0.6900000000000001,29.089296015062505,4.931052611542865,143.4408490830174,0.1,143.85124324192384,1000,700,300
0.7000000000000001,29.089296015211314,4.931052628867322,143.44084958770748,0.1,143.85124324192384,1000,700,300
0.71,29.089296015231454,4.931052631212076,143.44084965601402,0.1,143.85124324192384,1000,700,300
0.72,29.08929601523418,4.931052631529314,143.4408496652557,0.1,143.85124324192384,1000,700,300
0.73,29.08929601523455,4.93105263157233,143.4408496665088,0.1,143.85124324192384,1000,700,300
0.74,29.0892960152346,4.931052631578121,143.4408496666775,0.1,143.85124324192384,1000,700,300
0.75,29.089296015234606,4.931052631578948,143.4408496667016,0.1,143.85124324192384,1000,700,300
0.76,29.089296015234606,4.931052631578948,143.4408496667016,0.1,143.85124324192384,1000,700,300
0.77,29.089296015234606,4.931052631578948,143.4408496667016,0.1,143.85124324192384,1000,700,300
0.78,29.089296015234606,4.931052631578948,143.4408496667016,0.1,143.85124324192384,1000,700,300
0.79,29.089296015234606,4.931052631578948,143.4408496667016,0.1,143.85124324192384,1000,700,300
0.8,29.089296015234606,4.931052631578948,143.4408496667016,0.1,143.85124324192384,1000,700,300
0.81,29.089296015234606,4.931052631578948,143.4408496667016,0.1,143.85124324192384,1000,700,300
0.8200000000000001,29.089296015234606,4.931052631578948,143.4408496667016,0.1,143.85124324192384,1000,700,300
0.8300000000000001,29.089296015234606,4.931052631578948,143.4408496667016,0.1,143.85124324192384,1000,700,300
0.84,29.089296015234606,4.931052631578948,143.4408496667016,0.1,143.85124324192384,1000,700,300
0.85,29.089296015234606,4.931052631578948,143.4408496667016,0.1,143.85124324192384,1000,700,300
0.86,29.089296015234606,4.931052631578948,143.4408496667016,0.1,143.85124324192384,1000,700,300
0.87,29.089296015234606,4.931052631578948,143.4408496667016,0.1,143.85124324192384,1000,700,300
0.88,29.089296015234606,4.931052631578948,143.4408496667016,0.1,143.85124324192384,1000,700,300
0.89,29.089296015234606,4.931052631578948,143.4408496667016,0.1,143.85124324192384,1000,700,300
