t,V,I,P,D,P_gmpp,G1,G2,G3
0.0,15.258560681964605,1.775162705873775,27.08642786793548,0.6095693498571635,143.85124324192384,1000,700,300
0.01,11.997396955160468,4.573616295620141,54.87149021914538,0.31582937101109626,143.85124324192384,1000,700,300
0.02,20.329642314073787,5.265979070078467,107.05547092809414,0.31582937101109626,143.85124324192384,1000,700,300
0.03,21.457289099719272,2.8700139745441406,61.582719572027976,0.13277881914895576,143.85124324192384,1000,700,300
0.04,27.07735943589081,4.9715920513878,134.6175849440452,0.13277881914895576,143.85124324192384,1000,700,300
0.05,27.837953246646272,4.757311778318783,132.43382286455792,0.11322210842282328,143.85124324192384,1000,700,300
0.06,28.525019592209237,4.789326210735748,136.61562399471845,0.11322210842282328,143.85124324192384,1000,700,300
0.07,28.618003910688344,2.3863845376898807,68.2935620320152,0.19585467664496203,143.85124324192384,1000,700,300
0.08,26.162470546360588,5.090849132630573,133.1891904884127,0.19585467664496203,143.85124324192384,1000,700,300
0.09,25.83015024300234,4.761056346124088,122.97880073578493,0.2924083531362534,143.85124324192384,1000,700,300
0.1,22.901254429806556,4.750579485236081,108.79422948041095,0.2924083531362534,143.85124324192384,1000,700,300
0.11,22.504871485357175,3.3935719893720915,76.3719014971268,0.13277881914895576,143.85124324192384,1000,700,300
0.12,27.219134294764803,4.8373995531362715,131.66982807425143,0.13277881914895576,143.85124324192384,1000,700,300
0.13,27.857140387327814,4.419921774453589,123.12638137196069,0.1443176025210035,143.85124324192384,1000,700,300
0.14,27.598838055462387,3.961325314272901,109.32797583362144,0.1443176025210035,143.85124324192384,1000,700,300
0.15,27.563880636218702,4.985810538856491,137.42828656784155,0.1,143.85124324192384,1000,700,300
0.16,28.882853492862004,4.975637708861887,143.71061497861746,0.1,143.85124324192384,1000,700,300
0.17,29.061357057997228,2.0551084315348933,59.724239921736185,0.266008657026524,143.85124324192384,1000,700,300
0.18,24.12707213819988,5.016014435081326,121.02174212145906,0.266008657026524,143.85124324192384,1000,700,300
0.19,23.459289291008957,4.380802277235383,102.77050794837568,0.13954253672289985,143.85124324192384,1000,700,300
0.2,27.14627806355018,4.134847636673976,112.24572369556508,0.13954253672289985,143.85124324192384,1000,700,300
0.21,27.645257733372258,2.600919564149282,71.90309169467714,0.1567558001602756,143.85124324192384,1000,700,300
0.22,27.19865156293019,4.639884772795812,126.1986092274188,0.1567558001602756,143.85124324192384,1000,700,300
0.23,27.138209990358195,4.057047286742481,110.10100120843042,0.16195973311219355,143.85124324192384,1000,700,300
0.24,26.974596028546706,1.9657994004629258,53.026644700646735,0.16195973311219355,143.85124324192384,1000,700,300
0.25,26.952453286683483,1.9302222385809755,52.02422471827136,0.1859070730209321,143.85124324192384,1000,700,300
0.26,26.23418356941186,5.2688528217390775,138.22405212571664,0.1859070730209321,143.85124324192384,1000,700,300
0.27,26.136976333784624,4.554988820935987,119.05363501345741,0.1424687964898295,143.85124324192384,1000,700,300
0.28,27.421260375765026,5.0916030923979685,139.6181741266951,0.1424687964898295,143.85124324192384,1000,700,300
0.29,27.595069320342706,4.071774355678624,112.36089560174538,0.14499255110379278,143.85124324192384,1000,700,300
0.3,27.543210838060645,3.6276880683028923,99.91817731998351,0.14499255110379278,143.85124324192384,1000,700,300
0.31,27.536192555672784,3.711936777471589,102.21260585894119,0.1968675690785845,143.85124324192384,1000,700,300
0.32,25.985809642162828,4.3842793900008505,113.92904964661986,0.1968675690785845,143.85124324192384,1000,700,300
0.33,25.77598813143775,2.8926955806236174,74.56208695401679,0.11007232582191404,143.85124324192384,1000,700,300
0.34,28.340042490966887,3.5139459122434116,99.58537646393768,0.11007232582191404,143.85124324192384,1000,700,300
0.35000000000000003,28.687049513947834,3.844916065178465,110.29929753874809,0.13924440245774233,143.85124324192384,1000,700,300
0.36,27.862683320979787,4.3224538693965835,120.43516333254072,0.13924440245774233,143.85124324192384,1000,700,300
0.37,27.75111748876377,3.923379616312919,108.87816868532074,0.13929016121084575,143.85124324192384,1000,700,300
0.38,27.73465194631184,3.6133273939101134,100.21437763817102,0.13929016121084575,143.85124324192384,1000,700,300
0.39,27.732423577460462,3.6419739196535543,101.00076339789632,0.14685061310409853,143.85124324192384,1000,700,300
0.4,27.50630204300033,4.070747804141096,111.97121864158532,0.14685061310409853,143.85124324192384,1000,700,300
0.41000000000000003,27.47569982108827,4.438102315017464,121.93996698269679,0.17262354013739004,143.85124324192384,1000,700,300
0.42,26.701757543741408,5.05239516316763,134.90783066207388,0.17262354013739004,143.85124324192384,1000,700,300
0.43,26.59701584642788,4.516198943519784,120.11741486641655,0.14074394277795288,143.85124324192384,1000,700,300
0.44,27.535038883522578,3.7257856630090034,102.58965310262386,0.14074394277795288,143.85124324192384,1000,700,300
0.45,27.661986496930254,2.1106553666909664,58.38492025307889,0.14390292038141445,143.85124324192384,1000,700,300
0.46,27.58481281483494,4.372358282521678,120.61068478275368,0.14390292038141445,143.85124324192384,1000,700,300
0.47000000000000003,27.574368492710157,4.678446487232754,129.00520741238137,0.13555083981790483,143.85124324192384,1000,700,300
0.48,27.822419788725572,5.030454791907389,139.95942494865352,0.13555083981790483,143.85124324192384,1000,700,300
0.49,27.855989881129027,4.440152474655264,123.68484240466704,0.16403396712873025,143.85124324192384,1000,700,300
0.5,27.009782549987854,2.9949924789413718,80.89409559505553,0.16403396712873025,143.85124324192384,1000,700,300
0.51,26.895260841150964,5.199610459058069,139.84487956874347,0.13515752946541665,143.85124324192384,1000,700,300
0.52,27.742260183838354,3.7565933057712564,104.21638889357163,0.13515752946541665,143.85124324192384,1000,700,300
0.53,27.856889079782174,4.4243408098482755,123.24837119109705,0.14632169660660338,143.85124324192384,1000,700,300
0.54,27.53894460140162,3.6789007314115514,101.31304343639862,0.14632169660660338,143.85124324192384,1000,700,300
0.55,27.49591549536647,4.19542976797674,115.3571823670334,0.17345931865131028,143.85124324192384,1000,700,300
0.56,26.679529920857636,5.192850740655926,138.5428167098775,0.17345931865131028,143.85124324192384,1000,700,300
0.5700000000000001,26.5690441479012,4.2868186807242346,113.89667478220976,0.16059813792526634,143.85124324192384,1000,700,300
0.58,26.93823672197482,2.7719640456467576,74.67182364643537,0.16059813792526634,143.85124324192384,1000,700,300
0.59,26.988201503555928,2.3637546439877157,63.79348663690658,0.1607695842018121,143.85124324192384,1000,700,300
0.6,26.989842644702463,2.411757431408623,65.09295357091054,0.1607695842018121,143.85124324192384,1000,700,300
0.61,26.99006474900436,2.4182539022403806,65.26882940100033,0.14809437192200925,143.85124324192384,1000,700,300
0.62,27.368685391704332,2.2501983287036955,61.584970127230335,0.14809437192200925,143.85124324192384,1000,700,300
0.63,27.41992612362336,5.107619692248022,140.05055462900464,0.14809437192200925,143.85124324192384,1000,700,300
0.64,27.426860802590873,5.024374573396306,137.8028220446174,0.1385443676791192,143.85124324192384,1000,700,300
0.65,27.713044369151536,4.355274529303165,120.6979162704142,0.6095693498571635,143.85124324192384,1000,700,300
0.66,13.682928032531684,4.863930045129193,66.55280476277133,0.31582937101109626,143.85124324192384,1000,700,300
0.67,20.557754139833936,5.118967502056179,105.2344753570708,0.31582937101109626,143.85124324192384,1000,700,300
0.68,21.488160678268144,2.7928364745361898,60.01291891296159,0.13277881914895576,143.85124324192384,1000,700,300
0.6900000000000001,27.081537449717683,5.093797450963812,137.94786642955296,0.13277881914895576,143.85124324192384,1000,700,300
0.7000000000000001,27.838518679330896,4.7473691120915875,132.1597237046402,0.11322210842282328,143.85124324192384,1000,700,300
0.71,28.525096115201762,4.787572762760667,136.56597321627007,0.11322210842282328,143.85124324192384,1000,700,300
0.72,28.618014266949213,2.386869479689725,68.3074648231062,0.3691696740262954,143.85124324192384,1000,700,300
0.73,20.98579919071158,4.048752328511461,84.96630333906745,0.3691696740262954,143.85124324192384,1000,700,300
0.74,19.952891201646214,5.006632239578425,99.89678836296264,0.1,143.85124324192384,1000,700,300
0.75,27.85281808202327,4.495925939306027,125.22420729774036,0.1,143.85124324192384,1000,700,300
0.76,28.921956923927628,1.624412302657793,46.98118264416678,0.13277881914895576,143.85124324192384,1000,700,300
0.77,28.087592370147277,4.038160984096115,113.42221964632446,0.13277881914895576,143.85124324192384,1000,700,300
0.78,27.974673406938823,2.1666136032537713,60.61030795005518,0.124054371817218,143.85124324192384,1000,700,300
0.79,28.21997833475431,4.109160991794998,115.96043416247238,0.124054371817218,143.85124324192384,1000,700,300
0.8,28.253176746639554,5.086191365143336,143.7010636066266,0.1,143.85124324192384,1000,700,300
0.81,28.976139577199703,4.069161940054989,117.90860433726209,0.1,143.85124324192384,1000,700,300
0.8200000000000001,29.073981956643106,2.7060357999592846,78.67523602204653,0.1,143.85124324192384,1000,700,300
0.8300000000000001,29.087223482777624,4.689766762086915,136.4122938909245,0.1,143.85124324192384,1000,700,300
0.84,29.089015528467524,4.898398140090353,142.48957956170472,0.1237663758781819,143.85124324192384,1000,700,300
0.85,28.379390170960413,2.331280500711548,66.16031892764497,0.1237663758781819,143.85124324192384,1000,700,300
0.86,28.283352822210304,5.081615674985008,143.72512904247534,0.1283872771749759,143.85124324192384,1000,700,300
0.87,28.132335823220476,4.841041778493837,136.18981304682913,0.1283872771749759,143.85124324192384,1000,700,300
0.88,28.111897894888642,4.474301640935354,125.78111088090738,0.23450063664388524,143.85124324192384,1000,700,300
0.89,24.9396766213786,5.314642771043703,132.5454720679774,0.23450063664388524,143.85124324192384,1000,700,300
0.9,24.51036315683891,2.355102878918921,57.72442683401957,0.1,143.85124324192384,1000,700,300
0.91,28.46960483992219,3.696384200482459,105.23459752426734,0.1,143.85124324192384,1000,700,300
0.92,29.00542993450447,4.159142943989313,120.63772924947065,0.12016139856987236,143.85124324192384,1000,700,300
0.93,28.47575364182717,3.8836685523878507,110.59038892430799,0.12016139856987236,143.85124324192384,1000,700,300
0.9400000000000001,28.404069750733964,1.5894912675439883,45.14802083150198,0.12110739728716392,143.85124324192384,1000,700,300
0.9500000000000001,28.36611275324754,2.7303572108520413,77.44962049967147,0.12110739728716392,143.85124324192384,1000,700,300
