t,V,I,P,D,P_gmpp,G1,G2,G3
0.0,15.258560681964605,1.775162705873775,27.08642786793548,0.495,143.85124324192384,1000,700,300
0.01,15.419420676008196,1.8858950387941742,29.07940895396417,0.49,143.85124324192384,1000,700,300
0.02,15.590533605768938,2.0036852576606305,31.238522344941853,0.485,143.85124324192384,1000,700,300
0.03,15.76303411948897,2.122430657520649,33.4559468707474,0.48,143.85124324192384,1000,700,300
0.04,15.935722422277145,2.2413053270709735,35.71681955577412,0.475,143.85124324192384,1000,700,300
0.05,16.108436139552047,2.3601974913714496,38.01909056648794,0.47,143.85124324192384,1000,700,300
0.06,16.28115329630371,2.4790920233288936,40.36247726746145,0.46499999999999997,143.85124324192384,1000,700,300
0.07,16.45387091853793,2.597986875713861,42.746940701051514,0.45999999999999996,143.85124324192384,1000,700,300
0.08,16.62658860376837,2.7168817714639806,45.172475499209035,0.45499999999999996,143.85124324192384,1000,700,300
0.09,16.799306297524414,2.8357766730829326,47.63908092249494,0.44999999999999996,143.85124324192384,1000,700,300
0.1,16.972023992434277,2.954671575496147,50.14675686908419,0.44499999999999995,143.85124324192384,1000,700,300
0.11,17.144741687500293,3.0735664780168532,52.695503324959,0.43999999999999995,143.85124324192384,1000,700,300
0.12,17.31745938258744,3.192461380552106,55.28532028819012,0.43499999999999994,143.85124324192384,1000,700,300
0.13,17.490177077677448,3.311356283089327,57.916207758512144,0.42999999999999994,143.85124324192384,1000,700,300
0.14,17.662894772767846,3.430251185626817,60.588165735888616,0.42499999999999993,143.85124324192384,1000,700,300
0.15,17.835612467858287,3.5491460881643366,63.30119422031431,0.41999999999999993,143.85124324192384,1000,700,300
0.16,18.008330162948745,3.6680409907018685,66.05529321178885,0.4149999999999999,143.85124324192384,1000,700,300
0.17,18.1810478580392,3.786935893239398,68.85046271031193,0.4099999999999999,143.85124324192384,1000,700,300
0.18,18.353765553129655,3.9058307957769274,71.68670271588356,0.4049999999999999,143.85124324192384,1000,700,300
0.19,18.52648324822011,4.024725698314457,74.56401322850377,0.3999999999999999,143.85124324192384,1000,700,300
0.2,18.69920094331057,4.143620600851989,77.48239424817261,0.3949999999999999,143.85124324192384,1000,700,300
0.21,18.87191863840102,4.2625155033895155,80.4418457748899,0.3899999999999999,143.85124324192384,1000,700,300
0.22,19.044636333491482,4.38141040592705,83.44236780865596,0.3849999999999999,143.85124324192384,1000,700,300
0.23,19.21735402858193,4.500305308464574,86.48396034947032,0.3799999999999999,143.85124324192384,1000,700,300
0.24,19.39007172367239,4.619200211002106,89.56662339733346,0.3749999999999999,143.85124324192384,1000,700,300
0.25,19.562789418762843,4.738095113539636,92.69035695224512,0.3699999999999999,143.85124324192384,1000,700,300
0.26,19.7355071138533,4.856990016077165,95.85516101420534,0.3649999999999999,143.85124324192384,1000,700,300
0.27,19.908224808943757,4.975884918614697,99.06103558321419,0.3599999999999999,143.85124324192384,1000,700,300
0.28,20.080942504034212,5.094779821152226,102.30798065927156,0.35499999999999987,143.85124324192384,1000,700,300
0.29,20.253660199124667,5.213674723689756,105.59599624237751,0.34999999999999987,143.85124324192384,1000,700,300
0.3,20.426377894215126,5.332569626227288,108.9250823325321,0.34499999999999986,143.85124324192384,1000,700,300
0.31,20.59909558930558,5.015603974244867,103.31690570357097,0.34999999999999987,143.85124324192384,1000,700,300
0.32,20.47312749058521,5.330554399104831,109.13311980837304,0.35499999999999987,143.85124324192384,1000,700,300
0.33,20.30673666536069,5.250211346511544,106.6146592510987,0.34999999999999987,143.85124324192384,1000,700,300
0.34,20.433561012806376,5.337514320425383,109.06442452313982,0.34499999999999986,143.85124324192384,1000,700,300
0.35000000000000003,20.60006771869465,5.013173417880068,103.27171189388932,0.34999999999999987,143.85124324192384,1000,700,300
0.36,20.47325905399142,5.330225459070784,109.12708663973649,0.35499999999999987,143.85124324192384,1000,700,300
0.37,20.306754470531537,5.250223603183052,106.61500162522763,0.34999999999999987,143.85124324192384,1000,700,300
0.38,20.433563422474215,5.337515979185493,109.06447127915634,0.34499999999999986,143.85124324192384,1000,700,300
0.39,20.600068044807728,5.013172602519248,103.27169673226234,0.34999999999999987,143.85124324192384,1000,700,300
0.4,20.473259098126025,5.3302253487236975,109.1270846158194,0.35499999999999987,143.85124324192384,1000,700,300
0.41000000000000003,20.306754476504505,5.250223607294706,106.61500174008141,0.34999999999999987,143.85124324192384,1000,700,300
