t,V,I,P,D,P_gmpp,G1,G2,G3
0.0,15.258560681964605,1.0931172215925329,16.679395458170212,0.6095693498571635,143.85124324192384,1000,300,200
0.01,11.997396955160468,4.430125100719852,53.14996939435632,0.31582937101109626,143.85124324192384,1000,300,200
0.02,20.329642314073787,5.248578703070172,106.70172769068189,0.31582937101109626,143.85124324192384,1000,300,200
0.03,21.457289099719272,2.8700774412265266,61.58408139498013,0.13277881914895576,143.85124324192384,1000,300,200
0.04,27.07735943589081,4.9715920513878,134.6175849440452,0.13277881914895576,143.85124324192384,1000,300,200
0.05,27.837953246646272,4.034812348553309,112.32091751801806,0.11322210842282328,143.85124324192384,1000,300,200
0.06,28.525019592209237,5.042800241358021,143.84597568433503,0.11322210842282328,143.85124324192384,1000,300,200
0.07,28.618003910688344,1.040237883941411,29.76953183068147,0.1,143.85124324192384,1000,300,200
0.08,29.02551356477866,4.916329475963134,142.6989878934891,0.1,143.85124324192384,1000,300,200
0.09,29.080663999236624,3.387646263834066,98.51500274682778,0.22818845638113713,143.85124324192384,1000,300,200
0.1,25.259320713746163,5.305755094656824,134.01976956452935,0.22818845638113713,143.85124324192384,1000,300,200
0.11,24.74215813785998,1.173630161891391,29.038143060879005,0.13277881914895576,143.85124324192384,1000,300,200
0.12,27.521918117562763,5.176139165617061,142.45727828122241,0.13277881914895576,143.85124324192384,1000,300,200
0.13,27.89811772174564,1.001255015712915,27.933130297847182,0.12567585447215568,143.85124324192384,1000,300,200
0.14,28.161186266021264,2.96197279697076,83.41266765038155,0.12567585447215568,143.85124324192384,1000,300,200
0.15,28.19678872197145,1.4421792607183037,40.664823913682994,0.1,143.85124324192384,1000,300,200
0.16,28.968508287910094,3.5904937986938563,104.01124936515278,0.1,143.85124324192384,1000,300,200
0.17,29.072949173945638,2.0082337971599626,58.385279114231444,0.1260254407730295,143.85124324192384,1000,300,200
0.18,28.30974076718184,5.077614390595934,143.74594711348288,0.1260254407730295,143.85124324192384,1000,300,200
0.19,28.2064517412839,2.1265514612385745,59.98247116678261,0.13277881914895576,143.85124324192384,1000,300,200
0.2,27.990759273596925,2.8620503866001887,80.1109634002309,0.13277881914895576,143.85124324192384,1000,300,200
0.21,27.961568472390503,1.6000508110862408,44.73993031349188,0.13126594395141264,143.85124324192384,1000,300,200
0.22,28.002805359972818,3.3828362254498847,94.72890438593825,0.13126594395141264,143.85124324192384,1000,300,200
0.23,28.008386165833567,3.6241099944528914,101.50547223209352,0.1,143.85124324192384,1000,300,200
0.24,28.94301077461267,3.205665503834072,92.7816112172737,0.1,143.85124324192384,1000,300,200
0.25,29.0694984607617,1.3932617705360655,40.50142089403628,0.22840239395286493,143.85124324192384,1000,300,200
0.26,25.25141961109042,5.3059747841339036,133.9833957200301,0.22840239395286493,143.85124324192384,1000,300,200
0.27,24.734698828550435,1.1922784354571454,29.4906480208078,0.13277881914895576,143.85124324192384,1000,300,200
0.28,27.520908609824605,5.176238664141506,142.454791218479,0.13277881914895576,143.85124324192384,1000,300,200
0.29,27.897981099729968,1.00814364420639,28.125172331882762,0.13494216081822477,143.85124324192384,1000,300,200
0.3,27.88439636957508,1.6931003019011621,47.21107991165923,0.13494216081822477,143.85124324192384,1000,300,200
0.31,27.88255787627187,1.7857991051752142,49.79264690544243,0.11018394345425575,143.85124324192384,1000,300,200
0.32,28.621801843929763,0.9663755404071382,27.659409224353652,0.11018394345425575,143.85124324192384,1000,300,200
0.33,28.7218476356737,5.007339679993757,143.82004734884381,0.28037490215420396,143.85124324192384,1000,300,200
0.34,23.652025201364026,5.336023804861524,126.20776950766313,0.28037490215420396,143.85124324192384,1000,300,200
0.35000000000000003,22.96589934625739,4.814923818797096,110.57905578239138,0.13277881914895576,143.85124324192384,1000,300,200
0.36,27.281527630899703,4.2939494262739055,117.14549991857749,0.13277881914895576,143.85124324192384,1000,300,200
0.37,27.865584407145708,2.6416196146432105,73.6102743434121,0.1350010555161464,143.85124324192384,1000,300,200
0.38,27.87825285304826,2.0028629912386644,55.83632089976407,0.1350010555161464,143.85124324192384,1000,300,200
0.39,27.879967340762647,1.9164166826910392,53.429634524718864,0.11425752083595805,143.85124324192384,1000,300,200
0.4,28.499779283682532,5.047082224639551,143.84072942882463,0.11425752083595805,143.85124324192384,1000,300,200
0.41000000000000003,28.58366170853103,5.03261170735798,143.85047055351328,0.10790997864961582,143.85124324192384,1000,300,200
0.42,28.78460602792401,1.2362787806172226,35.58579764074905,0.10790997864961582,143.85124324192384,1000,300,200
0.43,28.811800884303846,0.9174230244767805,26.432609507900814,0.1,143.85124324192384,1000,300,200
0.44,29.05174113309331,2.8368247983809805,82.41469968250387,0.1,143.85124324192384,1000,300,200
0.45,29.084213514623094,4.022300399225876,116.98544363103909,0.1,143.85124324192384,1000,300,200
0.46,29.088608173574798,4.808066390821788,139.85995931514896,0.1,143.85124324192384,1000,300,200
0.47000000000000003,29.089202925988754,4.914408253852004,142.956218957455,0.11588695178863898,143.85124324192384,1000,300,200
0.48,28.614762736352755,1.1032723600661896,31.56987681686996,0.11588695178863898,143.85124324192384,1000,300,200
0.49,28.550554238909534,5.038363828888571,143.84807977204304,0.20884115536094425,143.85124324192384,1000,300,200
0.5,25.765454555517135,2.529332347507648,65.16939765550778,0.20884115536094425,143.85124324192384,1000,300,200
0.51,25.388532301023023,5.302162377630065,134.61412078972992,0.1,143.85124324192384,1000,300,200
0.52,28.58845210978,5.031779418739147,143.85078493960074,0.1,143.85124324192384,1000,300,200
0.53,29.021514163432574,4.519468988805077,131.16183326980084,0.1,143.85124324192384,1000,300,200
