t,V,I,P,D,P_gmpp,G1,G2,G3
0.0,47.978758903810494,5.369313716626353,257.61300828893843,0.26,452.722853225036,1000,1000,1000
0.01,70.55535388867516,5.348358534941387,377.3553291563058,0.34828174593109007,452.722853225036,1000,1000,1000
0.02,65.31949637892116,5.357550032902449,349.9524699740604,0.34828174593109007,452.722853225036,1000,1000,1000
0.03,64.61090011985206,5.35803073346617,346.18718855908037,0.5148797417488642,452.722853225036,1000,1000,1000
0.04,48.86840925426832,5.368710191813024,262.36032682108026,0.5148797417488642,452.722853225036,1000,1000,1000
0.05,46.737894794124756,5.370155499333209,250.98976275592602,0.8829471416759543,452.722853225036,1000,1000,1000
0.06,11.881313674925835,3.6947012880653087,43.897904938656445,0.8829471416759543,452.722853225036,1000,1000,1000
0.07,7.163988396499088,2.5919409973924465,18.568635229729757,0.316388643056049,452.722853225036,1000,1000,1000
0.08,59.7357524933897,5.361337956983472,320.2635572317802,0.316388643056049,452.722853225036,1000,1000,1000
0.09,66.85056707769077,5.355077281305992,357.9899530001642,0.5431503143419047,452.722853225036,1000,1000,1000
0.1,46.51639241529497,5.370305763065209,249.80725026486138,0.5431503143419047,452.722853225036,1000,1000,1000
0.11,43.76446112797689,5.3720661793183515,235.1055814816973,0.5661802598707805,452.722853225036,1000,1000,1000
0.12,41.22909546737387,5.373477734305597,221.54362649949329,0.5661802598707805,452.722853225036,1000,1000,1000
0.13,40.88597103758778,5.3736687674996,219.70766559357867,0.48204518134591273,452.722853225036,1000,1000,1000
0.14,48.74135382194804,5.368796384221125,261.68240416131715,0.48204518134591273,452.722853225036,1000,1000,1000
0.15,49.80446427600144,5.368075186800138,267.35410887187726,0.21476894685187609,452.722853225036,1000,1000,1000
0.16,75.05045775426052,5.336458583998992,400.50365951577726,0.21476894685187609,452.722853225036,1000,1000,1000
0.17,78.4671314322304,5.318344782220935,417.31525902844686,0.38052310696850944,452.722853225036,1000,1000,1000
0.18,63.3621867172263,5.358877841009973,339.55021835688046,0.38052310696850944,452.722853225036,1000,1000,1000
0.19,61.317954745947844,5.360264615845988,328.6804631407498,0.1,452.722853225036,1000,1000,1000
0.2,87.38753828301637,5.154096676133034,450.40382059994295,0.1,452.722853225036,1000,1000,1000
0.21,90.91567275486607,4.971014576882284,451.94313453149874,0.34389869558375563,452.722853225036,1000,1000,1000
0.22,68.48661433273013,5.35211025861132,366.54791114776197,0.34389869558375563,452.722853225036,1000,1000,1000
0.23,65.45117135843982,5.357460706666143,350.6520787581138,0.18135904109789652,452.722853225036,1000,1000,1000
0.24,80.30580928425991,5.3027165074894995,425.8389405389485,0.18135904109789652,452.722853225036,1000,1000,1000
0.25,82.3161659153281,5.2778804505203745,434.45488284630176,0.22001999069514103,452.722853225036,1000,1000,1000
0.26,78.95726923774171,5.315080560376789,419.66424682595726,0.22001999069514103,452.722853225036,1000,1000,1000
0.27,78.50269200451804,5.318107955770197,417.4857908986048,0.1,452.722853225036,1000,1000,1000
0.28,89.71323956725173,5.046311086654403,452.7209154479049,0.1,452.722853225036,1000,1000,1000
0.29,91.23042219689181,4.948658901096667,451.4682408554556,0.22069687141362027,452.722853225036,1000,1000,1000
0.3,80.10011118159892,5.30462298015029,424.9008904865028,0.22069687141362027,452.722853225036,1000,1000,1000
0.31,78.59378738783266,5.317501278348515,417.92256490505156,0.12360055753570456,452.722853225036,1000,1000,1000
0.32,87.50904484330728,5.149482116015456,450.62626141020536,0.12360055753570456,452.722853225036,1000,1000,1000
0.33,88.71559373617126,5.097973022787628,452.2697035675882,0.1236892194589409,452.722853225036,1000,1000,1000
