t,V,I,P,D,P_gmpp,G1,G2,G3
0.0,47.978758903810494,5.369313716626353,257.61300828893843,0.6095693498571635,452.722853225036,1000,1000,1000
0.01,37.724411101587634,5.375428953718292,202.78489169744594,0.31582937101109626,452.722853225036,1000,1000,1000
0.02,63.92418180966101,5.358496592373272,342.537510397318,0.31582937101109626,452.722853225036,1000,1000,1000
0.03,67.46993519917243,5.3539540379111985,361.2309319972161,0.13277881914895576,452.722853225036,1000,1000,1000
0.04,85.14158885654173,5.223171662794746,444.7091342408097,0.13277881914895576,452.722853225036,1000,1000,1000
0.05,87.53318710952112,5.148565244214034,450.6703248673644,0.11322210842282328,452.722853225036,1000,1000,1000
0.06,89.69358685047777,5.047401236690069,452.7195211922696,0.11322210842282328,452.722853225036,1000,1000,1000
0.07,89.98596516132444,5.03058588640809,452.68212631536886,0.1,452.722853225036,1000,1000,1000
0.08,91.26733159241152,4.945991819212242,451.4074754173984,0.1,452.722853225036,1000,1000,1000
0.09,91.44074568129257,4.9330776329353485,451.0842972593139,0.1,452.722853225036,1000,1000,1000
0.1,91.4642147261285,4.931326685711071,451.03992286656506,0.1,452.722853225036,1000,1000,1000
0.11,91.46739091595867,4.93108972077254,451.03391113156744,0.11236207988006394,452.722853225036,1000,1000,1000
0.12,90.30679581555825,5.011026220256659,452.52972169912675,0.11236207988006394,452.722853225036,1000,1000,1000
0.13,90.14972634892253,5.020707124760446,452.61537337523987,0.11322210842282328,452.722853225036,1000,1000,1000
0.14,90.04769692954187,5.026863521853226,452.6574829220088,0.11322210842282328,452.722853225036,1000,1000,1000
0.15,90.03388874917152,5.027696699597494,452.66308531613765,0.1,452.722853225036,1000,1000,1000
0.16,91.27381734474652,4.945523157173324,451.39677732205206,0.1,452.722853225036,1000,1000,1000
0.17,91.44162343242184,4.9330121468487125,451.0826391197028,0.1,452.722853225036,1000,1000,1000
0.18,91.4643335168262,4.9313178231329875,451.03969805250495,0.1,452.722853225036,1000,1000,1000
0.19,91.4674069925314,4.9310885213530256,451.033880698797,0.10452722699803702,452.722853225036,1000,1000,1000
0.2,91.04263368975354,4.962138895816872,451.76619380953355,0.10452722699803702,452.722853225036,1000,1000,1000
0.21,90.98514687451076,4.966157727578102,451.8465902456802,0.11322210842282328,452.722853225036,1000,1000,1000
0.22,90.16075880299404,5.020041432761174,452.6107448002169,0.11322210842282328,452.722853225036,1000,1000,1000
0.23,90.04919000983844,5.026773430237956,452.65687575590505,0.1,452.722853225036,1000,1000,1000
0.24,91.27588814519275,4.945373520630144,451.39336030523515,0.1,452.722853225036,1000,1000,1000
0.25,91.44190368478675,4.93299123815371,451.08210967714854,0.1,452.722853225036,1000,1000,1000
0.26,91.46437144485938,4.931314993448828,451.0396262724079,0.1,452.722853225036,1000,1000,1000
0.27,91.4674121255325,4.931088138396918,451.03387098207577,0.1137753675750857,452.722853225036,1000,1000,1000
0.28,90.17406517406818,5.019238533904222,452.6051426804737,0.1137753675750857,452.722853225036,1000,1000,1000
0.29,89.99902969806854,5.0298000749001295,452.6771263162841,0.11322210842282328,452.722853225036,1000,1000,1000
0.3,90.02730235561575,5.028094118835836,452.6657495089271,0.11322210842282328,452.722853225036,1000,1000,1000
0.31,90.03112864373274,5.027863242788686,452.66420241460344,0.1,452.722853225036,1000,1000,1000
0.32,91.2734438050952,4.94555014923925,451.39739363186885,0.1,452.722853225036,1000,1000,1000
0.33,91.44157287932732,4.933015918446625,451.08273462151885,0.10723397331815117,452.722853225036,1000,1000,1000
0.34,90.7849245358949,4.979935487251391,452.1030674037425,0.10723397331815117,452.722853225036,1000,1000,1000
0.35000000000000003,90.69605684634962,4.985937341227321,452.20485653229036,0.11669277104905555,452.722853225036,1000,1000,1000
0.36,89.79567615009275,5.0416062143587945,452.7144389008574,0.11669277104905555,452.722853225036,1000,1000,1000
0.37,89.67382287354404,5.048497558405129,452.7180758299411,0.11322210842282328,452.722853225036,1000,1000,1000
0.38,89.98329039790825,5.030740791674802,452.68260957387656,0.11322210842282328,452.722853225036,1000,1000,1000
0.39,90.02517227297061,5.028222646810252,452.6666100059452,0.11258236187961164,452.722853225036,1000,1000,1000
0.4,90.09092424636336,5.024255210160149,452.6397955329344,0.11258236187961164,452.722853225036,1000,1000,1000
0.41000000000000003,90.09982280830583,5.023718275997384,452.6361265062119,0.12164326038314817,452.722853225036,1000,1000,1000
0.42,89.25004333585584,5.0714268943146195,452.62507009220457,0.12164326038314817,452.722853225036,1000,1000,1000
0.43,89.13503819026316,5.077320430295001,452.56715045854827,0.11785973243864349,452.722853225036,1000,1000,1000
0.44,89.47481627261718,5.059510511599736,452.69877345476175,0.11785973243864349,452.722853225036,1000,1000,1000
0.45,89.52080023563015,5.056985831863615,452.70541844867466,0.11606882287507951,452.722853225036,1000,1000,1000
0.46,89.69522258652857,5.047310501259714,452.71963887381315,0.11606882287507951,452.722853225036,1000,1000,1000
0.47000000000000003,89.71882808479022,5.0460010876520265,452.72130409871664,0.11896866733876597,452.722853225036,1000,1000,1000
0.48,89.4496744143698,5.060843412301022,452.69079549243463,0.11896866733876597,452.722853225036,1000,1000,1000
0.49,89.41324842614927,5.062774543435658,452.679117977797,0.11927389574732818,452.722853225036,1000,1000,1000
0.5,29.089296015234606,4.931052631578948,143.4408496667016,0.11927389574732818,143.85124324192384,1000,700,300
0.51,29.089296015234606,4.931052631578948,143.4408496667016,0.11556954411997875,143.85124324192384,1000,700,300
0.52,28.685329619303293,4.0013154607365085,114.77905290204117,0.11556954411997875,143.85124324192384,1000,700,300
0.53,28.56958494414831,3.7681556639866165,107.65464332503922,0.117207508655982,143.85124324192384,1000,700,300
0.54,28.50499693198607,4.774380390178194,136.09369837416386,0.117207508655982,143.85124324192384,1000,700,300
0.55,28.496255895066405,4.508139997370038,128.4651109758406,0.11787369798300174,143.85124324192384,1000,700,300
0.56,28.475174795562186,3.8660376627827806,110.08609821396638,0.11787369798300174,143.85124324192384,1000,700,300
0.5700000000000001,28.472321778989844,3.7791385614645527,107.60084916940754,0.12031307251321148,143.85124324192384,1000,700,300
0.58,28.39907501338818,1.7396170970596168,49.40351643396865,0.12031307251321148,143.85124324192384,1000,700,300
0.59,28.389162141619316,2.0375663172402305,57.84480055443505,0.11567745656810793,143.85124324192384,1000,700,300
0.6,28.526279843147325,4.7604488186925265,135.7978951810031,0.11567745656810793,143.85124324192384,1000,700,300
0.61,28.54483670612037,4.33523683037387,123.74862740538099,0.11570122252545048,143.85124324192384,1000,700,300
0.62,28.546638249043358,4.293956272909101,122.5780163799466,0.11570122252545048,143.85124324192384,1000,700,300
0.63,28.546882061365103,4.2883695569724445,122.4195799784409,0.11606882287507951,143.85124324192384,1000,700,300
0.64,28.535935357551313,4.539202345949654,129.5303847188646,0.6095693498571635,143.85124324192384,1000,700,300
0.65,13.794294217519624,4.585515595498565,63.25395126333191,0.31582937101109626,143.85124324192384,1000,700,300
0.66,20.57282591402226,5.081284455854588,104.53638052992378,0.31582937101109626,143.85124324192384,1000,700,300
0.67,21.490200421096798,2.7877372130285405,59.909031429333155,0.13277881914895576,143.85124324192384,1000,700,300
0.68,27.08181349889113,5.101871789858226,138.16794030819435,0.13277881914895576,143.85124324192384,1000,700,300
0.6900000000000001,27.838556038523972,4.746712181572052,132.14161306543795,0.11322210842282328,143.85124324192384,1000,700,300
0.7000000000000001,28.525101171218736,4.787456909179509,136.56269268719564,0.11322210842282328,143.85124324192384,1000,700,300
0.71,28.618014951206703,2.3869015207129953,68.30838340682251,0.1,143.85124324192384,1000,700,300
0.72,29.025515058950337,4.934070932514742,143.21395015363578,0.1,143.85124324192384,1000,700,300
0.73,29.080664201450773,3.9261300369487406,114.17446921573584,0.20474217300154057,143.85124324192384,1000,700,300
0.74,25.95962791742771,4.552451661192244,118.17995123662632,0.20474217300154057,143.85124324192384,1000,700,300
0.75,25.537241587937704,4.2465614327464625,108.44546522606528,0.13277881914895576,143.85124324192384,1000,700,300
0.76,27.629520961475773,3.0621117985704,84.60468212498314,0.13277881914895576,143.85124324192384,1000,700,300
0.77,27.91268018310367,4.014298006655437,112.04981641944379,0.1322124758253376,143.85124324192384,1000,700,300
0.78,27.96791748708218,1.8745363858111883,52.42687896490056,0.1322124758253376,143.85124324192384,1000,700,300
0.79,27.975393043261334,2.1977254842573606,61.48223422329151,0.1,143.85124324192384,1000,700,300
0.8,28.938545641024497,2.7514802719619533,79.62383743054949,0.1,143.85124324192384,1000,700,300
0.81,29.068894170642857,1.4423868917223737,41.928591908600175,0.13938326531618922,143.85124324192384,1000,700,300
0.8200000000000001,27.910212739435394,3.8778382928789736,108.23129172338113,0.13938326531618922,143.85124324192384,1000,700,300
0.8300000000000001,27.753402259761927,3.96640269482537,110.08116951369222,0.13277881914895576,143.85124324192384,1000,700,300
0.84,27.929445693694948,4.941499225477965,138.01333426342245,0.13277881914895576,143.85124324192384,1000,700,300
0.85,27.95327058168822,2.249873187945619,62.891313997129366,0.13934614799499484,143.85124324192384,1000,700,300
0.86,27.76033814669328,4.0970079976071085,113.73432740328006,0.13934614799499484,143.85124324192384,1000,700,300
0.87,27.734227580957707,3.6053364381585276,99.99122128180805,0.1,143.85124324192384,1000,700,300
0.88,28.90590744487675,2.660745442007981,76.91126148106036,0.1,143.85124324192384,1000,700,300
0.89,29.064477071122866,1.801470289655048,52.358791927988214,0.10536822061600443,143.85124324192384,1000,700,300
0.9,28.925596012799318,1.4342677447288832,41.48704935821645,0.10536822061600443,143.85124324192384,1000,700,300
0.91,28.906800505434898,2.603079504757199,75.24669994380262,0.13277881914895576,143.85124324192384,1000,700,300
0.92,28.08554117195771,4.001354087918219,112.38019497980842,0.13277881914895576,143.85124324192384,1000,700,300
0.93,27.974395807450865,2.1546122048170124,60.27397462911549,0.1373850073441675,143.85124324192384,1000,700,300
0.9400000000000001,27.821773620312005,5.041817129171156,140.27229480281127,0.1373850073441675,143.85124324192384,1000,700,300
0.9500000000000001,27.801118453387378,4.864916176623073,135.25011089209846,0.1,143.85124324192384,1000,700,300
0.96,28.91496014004296,2.0762026059794856,60.033315594550146,0.1,143.85124324192384,1000,700,300
0.97,29.06570222018724,1.7018731021751732,49.46613680436988,0.15527569832669963,143.85124324192384,1000,700,300
0.98,27.435096358983433,4.92551349072468,135.13193723550444,0.15527569832669963,143.85124324192384,1000,700,300
0.99,27.214417852910135,4.7919189510156475,130.40928465021864,0.13943483792013664,143.85124324192384,1000,700,300
1.0,27.64974125296877,3.684663175001701,101.87998339313943,0.13943483792013664,114.93147733249515,800,500,200
1.01,27.708655868615228,2.735685190683873,75.80215951352646,0.13660055108383656,114.93147733249515,800,500,200
1.02,27.801257126464368,2.332495902750937,64.84631833880343,0.13660055108383656,114.93147733249515,800,500,200
